Company,Year,Revenue_in_Billions,NetIncome_in_Billions,OperatingIncome_in_Billions,R&D_in_Billions,Assets_in_Billions,Liabilities_in_Billions,R&D_pct_of_Revenue,Profit_Margin_pct,Employees
Alphabet (Google),2015,74.989,15.826,19.36,12.282,147.461,123.48629411764703,16.37840216565096,21.104428649535265,61814
Alphabet (Google),2016,90.272,19.478,23.716,13.948,167.497,28.461,15.45108117688763,21.57701169797944,72053
Alphabet (Google),2017,110.855,12.662,26.146,16.625,197.295,44.793,14.997068242298498,11.422128005051643,80110
Alphabet (Google),2018,136.819,30.736,26.321,21.419,232.792,55.164,15.654989438601364,22.464716157843576,98771
Alphabet (Google),2019,161.857,34.343,34.231,26.018,275.909,74.467,16.074683208016953,21.21811228430034,118899
Alphabet (Google),2020,182.527,40.269,41.224,27.573,319.616,97.072,15.106258252203784,22.061941520980454,135301
Alphabet (Google),2021,257.637,76.033,78.714,31.562,359.268,107.633,12.250569599863374,29.51167728237792,156500
Alphabet (Google),2022,282.836,59.972,74.842,39.5,365.264,109.12,13.965690364734334,21.203807153261963,190234
Alphabet (Google),2023,307.394,73.795,84.293,45.427,402.392,119.013,14.778102370247955,24.00664944663852,182502
Alphabet (Google),2024,350.018,100.118,112.39,49.326,450.256,125.172,14.092418104211784,28.603671811164,183323
Alphabet (Google),2011,37.905,9.737,40.94253030303031,18.461557692307693,242.839893939394,123.48629411764703,13.70006623028408,25.68790397045245,32467
Alphabet (Google),2012,46.039,10.737,40.94253030303031,18.461557692307693,242.839893939394,123.48629411764703,13.70006623028408,23.32153174482504,53861
Alphabet (Google),2013,55.519,12.733,40.94253030303031,18.461557692307693,242.839893939394,123.48629411764703,13.70006623028408,22.93449089500892,47756
Alphabet (Google),2014,66.001,14.136,40.94253030303031,18.461557692307693,242.839893939394,123.48629411764703,13.70006623028408,21.417857305192346,53600
Amazon,2011,48.077,0.631,0.862,18.461557692307693,25.278,123.48629411764703,13.70006623028408,1.31247790003536,56200
Amazon,2012,61.093,-0.039,0.676,18.461557692307693,32.555,123.48629411764703,13.70006623028408,-0.0638371008135138,88400
Amazon,2013,74.452,0.274,0.51,18.461557692307693,40.159,123.48629411764703,13.70006623028408,0.3680223499704507,117300
Amazon,2014,88.988,-0.241,0.591,18.461557692307693,54.505,123.48629411764703,13.70006623028408,-0.2708230323189644,154100
Amazon,2015,107.006,0.596,1.108,18.461557692307693,65.444,123.48629411764703,13.70006623028408,0.55697811337682,230800
Amazon,2016,135.987,2.371,1.255,18.461557692307693,83.402,123.48629411764703,13.70006623028408,1.7435490157147373,341400
Amazon,2017,177.866,3.033,2.127,18.461557692307693,131.31,123.48629411764703,13.70006623028408,1.705216286417865,566000
Amazon,2018,232.887,10.073,3.786,18.461557692307693,162.648,123.48629411764703,13.70006623028408,4.3252736305590265,647500
Amazon,2019,280.522,11.588,3.879,18.461557692307693,225.248,123.48629411764703,13.70006623028408,4.130870306072251,798000
Amazon,2020,386.064,21.331,6.873,18.461557692307693,321.195,123.48629411764703,13.70006623028408,5.525249699531684,1298000
Amazon,2021,469.822,33.364,24.879,18.461557692307693,420.549,123.48629411764703,13.70006623028408,7.101412875514557,1608000
Amazon,2022,513.983,-2.722,12.248,18.461557692307693,462.675,123.48629411764703,13.70006623028408,-0.5295895000418301,1541000
Amazon,2023,574.785,30.425,36.852,18.461557692307693,527.854,123.48629411764703,13.70006623028408,5.293283575597832,1525000
Amazon,2024,637.959,59.248,68.593,18.461557692307693,624.894,123.48629411764703,13.70006623028408,9.287117197186651,1556000
Apple,2011,108.249,25.922,33.79,2.429,116.371,39.756,2.2439006364954874,23.94664153941376,63300
Apple,2012,156.508,41.733,55.241,3.381,176.064,57.854,2.1602729572929182,26.665090602397324,76100
Apple,2013,170.91,37.037,48.999,4.475,207.0,83.451,2.6183371365045933,21.670469837926397,84400
Apple,2014,182.795,39.51,52.503,6.041,231.839,120.292,3.3047949889220165,21.614376760852323,97000
Apple,2015,233.715,53.394,71.23,8.067,290.479,171.124,3.4516398177267185,22.84577369873564,110000
Apple,2016,215.639,45.687,60.024,10.045,321.686,193.437,4.6582482760539605,21.1867983064288,116000
Apple,2017,229.234,48.351,61.344,11.581,375.319,241.272,5.052042890670668,21.09242084507534,123000
Apple,2018,265.595,59.531,70.898,14.236,365.725,258.578,5.360040663416103,22.414202074587248,132000
Apple,2019,260.174,55.256,63.93,16.217,338.516,248.028,6.233136285716482,21.238094505984456,137000
Apple,2020,274.515,57.411,66.288,18.752,323.888,258.549,6.830956414039306,20.913611278072235,147000
Apple,2021,365.817,94.68,108.949,21.914,351.002,287.912,5.990426907442792,25.88179335569424,154000
Apple,2022,394.328,99.803,119.437,26.251,352.755,302.083,6.657148363798665,25.309640705199733,164000
Apple,2023,383.285,96.995,114.301,29.915,352.583,290.437,7.804897139204509,25.30623426432028,161000
Apple,2024,391.035,93.736,123.216,31.37,364.98,308.03,8.022299794136075,23.971255769943863,164000
Meta Platforms,2012,5.089,0.032,0.538,1.399,15.103,3.348,27.49066614266064,0.6288072312831597,4619
Meta Platforms,2013,7.872,1.491,2.804,1.415,17.895,2.425,17.97510162601626,18.9405487804878,6337
Meta Platforms,2014,12.466,2.925,4.994,2.666,40.184,4.088,21.38617038344297,23.463821594737684,9199
Meta Platforms,2015,17.928,3.669,6.225,4.816,49.407,5.189,26.86300758589915,20.465194109772423,12691
Meta Platforms,2016,27.638,10.188,12.427,5.919,64.961,5.767,21.416166148057023,36.86229104855634,17048
Meta Platforms,2017,40.653,15.92,20.203,7.754,84.524,10.177,19.07362310284604,39.16070154724128,25105
Meta Platforms,2018,55.838,22.111,24.913,10.273,97.334,13.207,18.397865253053475,39.59848132096422,35587
Meta Platforms,2019,70.697,18.485,23.986,13.6,133.376,32.322,19.23702561636279,26.14679547929898,44942
Meta Platforms,2020,85.965,29.146,32.671,18.447,159.316,31.026,21.45873320537428,33.90449601582039,58604
Meta Platforms,2021,117.929,39.37,46.753,24.655,165.987,41.108,20.90664721993742,33.38449405998525,71970
Meta Platforms,2022,116.609,23.2,28.944,35.338,185.727,60.014,30.30469346276874,19.895548371051976,86482
Meta Platforms,2023,134.902,39.098,46.751,38.483,229.623,76.455,28.52663414923426,28.98252064461609,67317
Meta Platforms,2024,164.501,62.36,69.38,43.873,276.054,93.417,26.670354587510108,37.90858414234564,74067
Meta Platforms,2011,3.711,0.668,40.94253030303031,18.461557692307693,242.839893939394,123.48629411764703,13.70006623028408,18.000538938291566,3200
Microsoft,2011,69.943,23.15,27.161,9.043,108.704,51.621,12.929099409519178,33.09838010951775,90000
Microsoft,2012,73.723,16.978,21.763,9.811,121.271,54.908,13.307922900587332,23.02944806912361,94000
Microsoft,2013,77.849,21.863,26.764,10.411,142.431,63.487,13.373325283561767,28.08385464167812,99000
Microsoft,2014,86.833,22.074,27.759,11.381,172.384,82.6,13.106768164177211,25.42121082998399,128000
Microsoft,2015,93.58,12.193,18.161,12.046,176.223,96.14,12.872408634323572,13.029493481513144,118000
Microsoft,2016,91.154,20.539,3.08,11.988,193.694,121.697,13.151370208657877,22.532198257893235,114000
Microsoft,2017,96.571,25.489,5.33,13.037,241.086,168.692,13.499911981857906,26.394052044609666,124000
Microsoft,2018,110.36,16.571,10.379,14.726,258.848,176.13,13.34360275462124,15.01540413193186,131000
Microsoft,2019,125.843,39.24,12.405,16.876,286.556,184.226,13.410360528595156,31.18171054409065,144000
Microsoft,2020,143.015,44.281,13.407,19.269,301.311,183.007,13.47341187987274,30.962486452470024,163000
Microsoft,2021,168.088,61.271,69.916,20.716,333.779,191.791,12.324496692208845,36.451739564989765,181000
Microsoft,2022,198.27,72.738,83.383,24.512,364.84,198.298,12.362939426035204,36.68633681343622,221000
Microsoft,2023,211.915,72.361,88.523,27.195,411.976,205.753,12.832975485454073,34.14623787839464,221000
Microsoft,2024,245.122,88.136,109.433,29.51,512.163,243.686,12.038903076835208,35.955972944084984,228000
Microsoft,2025,281.724,101.832,128.528,32.488,619.003,275.524,11.531853871164689,36.14601524896708,228000
